categories_slug,name,description,short_description,sku,price,special_price,special_price_from,special_price_to,inventory_sources,inventories,weight,meta_title,meta_keywords,meta_description,color,size,url_key,tax_category_id,new,featured,visible_individually,status,cost,width,height,depth,type,attribute_family_name,images,guest_checkout,diet,stocklimit
106,",نيفادا كسكسي تونسي 700 جم",",نيفادا كسكسي تونسي 700 جم",",نيفادا كسكسي تونسي 700 جم",10999,100,,,,"HUR,QEN","100,100",1,,,,,,نيفادا-كسكسي-تونسي-700-جم,,1,0,1,1,100,1,1,1,simple,Default,10999.png,0,0,0
109,",الطحان ميل في",",الطحان ميل في",",الطحان ميل في",11000,100,,,,"HUR,QEN","100,100",1,,,,,,الطحان-ميل-في,,1,0,1,1,100,1,1,1,simple,Default,11000.png,0,0,0
109,",دريم كورن فلور 60جم ظرف",",دريم كورن فلور 60جم ظرف",",دريم كورن فلور 60جم ظرف",11001,100,,,,"HUR,QEN","100,100",1,,,,,,دريم-كورن-فلور-60جم-ظرف,,1,0,1,1,100,1,1,1,simple,Default,11001.png,0,0,0
106,",سنابل الخير بسبوسة سميد 1كجم",",سنابل الخير بسبوسة سميد 1كجم",",سنابل الخير بسبوسة سميد 1كجم",11002,100,,,,"HUR,QEN","100,100",1,,,,,,سنابل-الخير-بسبوسة-سميد-1كجم,,1,0,1,1,100,1,1,1,simple,Default,11002.png,0,0,0
165,"White Flour - perKG,دقيق ابيض بالوزن","White Flour - perKG,دقيق ابيض بالوزن","White Flour - perKG,دقيق ابيض بالوزن",11003,100,,,,"HUR,QEN","100,100",1,,,,,,دقيق-ابيض-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11003.png,0,0,0
165,"Cornflour  - perKG,نشا بالوزن","Cornflour  - perKG,نشا بالوزن","Cornflour  - perKG,نشا بالوزن",11004,100,,,,"HUR,QEN","100,100",1,,,,,,نشا-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11004.png,0,0,0
165,"White Sesame  - perKG,سمسم ابيض بالوزن","White Sesame  - perKG,سمسم ابيض بالوزن","White Sesame  - perKG,سمسم ابيض بالوزن",11005,100,,,,"HUR,QEN","100,100",1,,,,,,سمسم-ابيض-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11005.png,0,0,0
165,",سوتي فراولة وشيكولاتة بالوزن",",سوتي فراولة وشيكولاتة بالوزن",",سوتي فراولة وشيكولاتة بالوزن",11006,100,,,,"HUR,QEN","100,100",1,,,,,,سوتي-فراولة-وشيكولاتة-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11006.png,0,0,0
165,"Baking Powder  - perKG,بيكنج بودر بالوزن","Baking Powder  - perKG,بيكنج بودر بالوزن","Baking Powder  - perKG,بيكنج بودر بالوزن",11007,100,,,,"HUR,QEN","100,100",1,,,,,,بيكنج-بودر-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11007.png,0,0,0
165,"Rainbow Sprinkles  - perKG,سبرينكلز فارماسيلا بالوزن","Rainbow Sprinkles  - perKG,سبرينكلز فارماسيلا بالوزن","Rainbow Sprinkles  - perKG,سبرينكلز فارماسيلا بالوزن",11008,100,,,,"HUR,QEN","100,100",1,,,,,,سبرينكلز-فارماسيلا-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11008.png,0,0,0
165,",مانجو فص بالوزن 2",",مانجو فص بالوزن 2",",مانجو فص بالوزن 2",11009,100,,,,"HUR,QEN","100,100",1,,,,,,مانجو-فص-بالوزن-2,,1,0,1,1,100,1,1,1,simple,Default,11009.png,0,0,0
165,"Whipped Topping - Sugared  - perKG,كريم شانتية سكر بالوزن","Whipped Topping - Sugared  - perKG,كريم شانتية سكر بالوزن","Whipped Topping - Sugared  - perKG,كريم شانتية سكر بالوزن",11010,100,,,,"HUR,QEN","100,100",1,,,,,,كريم-شانتية-سكر-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11010.png,0,0,0
165,"Semolina Flour - Deluxe  - perKG,دقيق سميد فاخر بالوزن","Semolina Flour - Deluxe  - perKG,دقيق سميد فاخر بالوزن","Semolina Flour - Deluxe  - perKG,دقيق سميد فاخر بالوزن",11011,100,,,,"HUR,QEN","100,100",1,,,,,,دقيق-سميد-فاخر-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11011.png,0,0,0
165,"acaciar perKg,صمغ عربي بالوزن","acaciar perKg,صمغ عربي بالوزن","acaciar perKg,صمغ عربي بالوزن",11012,100,,,,"HUR,QEN","100,100",1,,,,,,صمغ-عربي-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11012.png,0,0,0
165,"Sodium Carbonate  - perKG,كربونات الصوديوم بالوزن","Sodium Carbonate  - perKG,كربونات الصوديوم بالوزن","Sodium Carbonate  - perKG,كربونات الصوديوم بالوزن",11013,100,,,,"HUR,QEN","100,100",1,,,,,,كربونات-الصوديوم-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11013.png,0,0,0
165,"Vanilla Essence  - perKG,اسانس فانيليا بالوزن","Vanilla Essence  - perKG,اسانس فانيليا بالوزن","Vanilla Essence  - perKG,اسانس فانيليا بالوزن",11014,100,,,,"HUR,QEN","100,100",1,,,,,,اسانس-فانيليا-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11014.png,0,0,0
165,"Red Cherry  - perKG,كريز احمر بالوزن","Red Cherry  - perKG,كريز احمر بالوزن","Red Cherry  - perKG,كريز احمر بالوزن",11015,100,,,,"HUR,QEN","100,100",1,,,,,,كريز-احمر-بالوزن,,1,0,1,1,100,1,1,1,simple,Default,11015.png,0,0,0
